student_id,gender,age,study_hours_per_day,attendance_percentage,previous_score,assignment_score,midterm_score,extracurricular_activity,internet_access,sleep_hours,parental_education,family_income_category,class_participation,final_score,academic_risk
STU1766,Male,19,5.0,71.1,68.8,58.9,51.5,Yes,Yes,8.0,High School,Medium,71.9,68.3,Low Risk
STU3003,Male,17,5.4,85.3,77.2,69.2,63.2,Yes,Yes,6.4,Master,Medium,84.2,79.6,Low Risk
STU2876,Male,21,0.8,52.4,54.5,36.7,32.9,Yes,No,7.4,Associate,Low,33.7,43.6,High Risk
STU1583,Male,22,3.7,59.5,66.7,58.0,65.7,Yes,Yes,6.8,Bachelor,Medium,48.8,65.2,Moderate Risk
STU1713,Female,18,2.0,50.9,72.3,51.7,57.2,Yes,No,6.7,Associate,Medium,43.5,63.7,High Risk
STU3006,Male,21,3.9,64.5,69.5,60.5,53.5,No,Yes,7.1,High School,Low,49.8,50.3,Moderate Risk
STU1384,Male,22,2.8,66.1,60.9,35.2,47.4,Yes,Yes,7.0,Master,Low,52.5,45.6,High Risk
STU2924,Female,22,0.9,52.2,47.9,38.2,43.1,No,No,6.5,Master,Medium,50.1,51.1,High Risk
STU1213,Male,19,2.4,71.6,61.4,61.5,53.5,Yes,Yes,7.5,Associate,Low,55.9,64.3,Moderate Risk
STU1383,Male,19,3.4,70.1,88.4,66.7,74.0,Yes,Yes,6.6,Bachelor,Medium,54.0,72.6,Low Risk
STU1487,Female,20,2.7,45.2,65.3,39.2,38.3,Yes,No,8.3,Bachelor,Low,48.6,46.3,High Risk
STU2719,Other,20,3.0,66.8,83.3,67.6,74.3,Yes,Yes,6.2,High School,Medium,63.8,66.6,Moderate Risk
STU1535,Male,17,3.6,73.3,84.6,62.0,59.6,Yes,Yes,7.8,Bachelor,High,67.2,64.4,Moderate Risk
STU2554,Male,21,1.7,64.5,53.7,28.9,42.1,No,Yes,7.9,Bachelor,Medium,30.1,49.4,High Risk
STU1125,Female,19,1.4,61.2,68.1,40.8,46.9,No,Yes,8.2,Bachelor,Medium,39.1,42.6,High Risk
STU1875,Female,22,7.8,92.0,,79.7,80.5,Yes,Yes,5.5,Associate,High,81.1,89.5,Low Risk
STU1553,Male,19,4.3,65.9,69.2,54.5,51.3,No,Yes,6.2,Associate,Medium,57.0,61.3,Moderate Risk
STU1030,Female,17,1.4,54.3,62.7,32.2,43.6,No,No,8.1,Associate,High,57.5,52.0,High Risk
STU2735,Female,20,3.3,68.1,56.8,46.7,43.0,No,Yes,5.4,Bachelor,Medium,63.0,48.8,Moderate Risk
STU2316,Male,21,3.7,74.7,71.1,62.4,58.4,No,Yes,6.6,Bachelor,High,48.8,67.5,Low Risk
STU2419,Female,17,1.8,45.4,48.4,30.6,36.1,Yes,Yes,6.7,High School,Low,47.2,41.5,High Risk
STU2405,Male,17,2.6,70.9,72.4,52.1,54.4,Yes,Yes,6.5,High School,Medium,47.7,59.3,Moderate Risk
STU1343,Female,20,1.1,66.2,69.4,45.2,56.2,No,Yes,7.7,Associate,Medium,41.9,52.0,Moderate Risk
STU1308,Female,17,2.4,53.5,68.7,50.0,56.9,No,Yes,7.8,High School,Medium,54.3,54.3,Moderate Risk
STU2288,Female,17,4.7,60.6,79.0,69.2,59.2,Yes,Yes,5.4,Bachelor,Low,54.3,70.2,Moderate Risk
STU1773,Female,18,3.7,64.4,65.3,55.5,49.5,No,Yes,7.0,Master,Medium,57.8,59.1,Moderate Risk
STU2777,Male,20,2.1,51.4,59.5,42.3,45.0,Yes,Yes,7.8,High School,Low,38.9,40.2,High Risk
STU1112,Female,17,2.3,77.8,50.1,28.6,35.8,No,Yes,5.6,Bachelor,Low,52.7,44.4,High Risk
STU2918,Male,17,4.2,62.0,51.2,53.4,43.9,Yes,Yes,5.3,Associate,Low,52.1,54.1,Moderate Risk
STU1716,Male,17,4.7,85.0,74.2,69.7,77.8,Yes,Yes,5.4,High School,Low,60.9,77.1,Low Risk
STU1986,Male,20,5.4,80.1,72.1,62.4,60.1,Yes,No,6.3,High School,Low,78.0,68.9,Low Risk
STU2775,Male,19,1.4,62.4,69.3,43.0,44.5,Yes,Yes,7.1,High School,Low,55.7,52.2,Moderate Risk
STU2044,Male,18,2.4,58.3,53.5,32.9,36.0,No,Yes,6.1,High School,High,68.6,42.8,High Risk
STU1101,Female,19,2.1,67.4,70.6,36.1,49.2,No,Yes,7.1,High School,High,40.8,49.6,High Risk
STU1591,Female,20,2.4,68.7,,35.2,34.6,No,Yes,7.1,Master,High,59.6,49.1,High Risk
STU2058,Female,20,2.5,48.1,53.5,31.4,28.3,No,Yes,4.4,High School,Low,48.3,44.1,High Risk
STU1290,Male,20,4.5,57.0,77.6,55.6,56.6,Yes,Yes,7.4,Doctorate,Medium,54.3,66.1,Moderate Risk
STU1611,Female,18,3.5,51.8,63.4,47.4,51.7,Yes,No,5.8,Doctorate,Medium,59.3,47.3,High Risk
STU2129,Female,17,5.3,75.1,,61.8,70.6,Yes,Yes,8.1,Master,Medium,62.9,73.4,Low Risk
STU1066,Male,18,3.5,70.3,69.9,58.1,50.9,Yes,Yes,6.5,High School,Medium,58.7,69.4,Moderate Risk
STU2572,Female,19,5.7,63.9,88.2,78.5,69.8,No,Yes,9.5,High School,High,63.2,75.4,Low Risk
STU1975,Female,20,2.1,75.6,61.4,58.0,49.2,No,No,7.5,Bachelor,Medium,45.8,53.1,Moderate Risk
STU1306,Male,17,3.4,57.5,45.9,40.7,33.9,No,Yes,6.0,Bachelor,Low,59.6,47.2,High Risk
STU2111,Male,19,2.7,64.8,66.6,59.4,56.6,Yes,Yes,7.3,Associate,Medium,53.2,59.9,Moderate Risk
STU2658,Female,20,1.9,86.0,70.2,58.6,51.5,No,Yes,7.8,Associate,Low,60.6,63.3,Moderate Risk
STU1129,Female,18,5.5,75.4,80.3,65.1,79.4,Yes,Yes,7.3,Doctorate,Low,51.5,81.0,Low Risk
STU1708,Male,21,2.8,46.5,59.1,53.7,39.2,Yes,Yes,7.0,High School,Low,57.0,45.6,High Risk
STU2800,Female,17,1.9,69.0,60.2,55.4,53.0,No,Yes,6.0,Bachelor,High,48.7,58.6,Moderate Risk
STU2650,Male,19,1.7,54.5,57.4,44.1,44.3,No,Yes,8.1,High School,Low,42.8,43.1,Moderate Risk
STU1421,Male,17,1.1,68.7,68.1,38.0,52.8,No,Yes,7.2,Associate,High,47.2,56.0,Moderate Risk
STU2290,Female,18,5.0,67.8,73.6,52.2,55.1,Yes,Yes,5.8,High School,High,73.3,63.9,Moderate Risk
STU1924,Male,17,4.1,58.1,79.2,54.3,62.4,No,Yes,5.9,Bachelor,Medium,43.5,63.6,Moderate Risk
STU1415,Male,17,8.0,87.6,77.7,63.2,61.7,No,No,6.8,High School,Low,65.5,84.7,Low Risk
STU1454,Male,17,0.9,75.8,52.6,35.3,35.6,No,Yes,4.9,Master,Medium,42.5,41.5,Moderate Risk
STU2533,Male,21,3.6,79.2,66.3,76.8,56.8,No,Yes,6.0,Doctorate,Medium,63.3,66.2,Moderate Risk
STU2357,Male,18,3.8,64.8,65.3,52.6,59.2,No,No,6.3,High School,High,82.9,69.8,Moderate Risk
STU1394,Male,17,,63.7,78.5,59.0,68.9,No,Yes,8.2,Bachelor,Medium,67.9,64.7,Moderate Risk
STU1238,Female,17,1.1,45.0,67.6,35.2,45.4,No,Yes,6.8,High School,Medium,18.5,39.5,Moderate Risk
STU1211,Male,18,4.6,60.1,63.1,38.1,55.0,Yes,Yes,8.1,Master,High,50.4,59.8,Moderate Risk
STU1212,Male,18,3.4,73.3,72.4,57.8,58.0,Yes,Yes,6.7,Master,Medium,59.4,63.0,Moderate Risk
STU1702,Female,20,1.2,56.3,57.2,46.3,50.6,No,Yes,5.6,Bachelor,Medium,32.9,43.5,High Risk
STU2852,Male,18,1.6,52.1,75.5,37.5,47.4,Yes,Yes,6.9,High School,Medium,39.6,52.4,Moderate Risk
STU2682,Male,19,5.4,81.7,89.9,65.7,71.7,Yes,Yes,7.3,Master,Medium,69.7,79.5,Low Risk
STU3012,Female,20,5.6,73.6,75.8,56.3,50.2,Yes,Yes,6.1,Bachelor,Medium,68.0,67.6,Moderate Risk
STU2608,Male,20,2.1,49.1,56.0,38.5,42.7,Yes,Yes,6.2,Bachelor,High,57.7,44.8,High Risk
STU2054,Male,18,3.1,62.1,57.2,46.0,37.9,No,Yes,6.8,Bachelor,Medium,41.1,45.7,Moderate Risk
STU1533,Other,17,5.5,67.1,59.1,55.7,49.4,No,Yes,6.2,Associate,Medium,78.9,72.6,Moderate Risk
STU2542,Female,18,4.0,55.9,64.2,51.5,33.6,Yes,Yes,7.8,High School,High,53.0,48.8,High Risk
STU1307,Male,22,4.4,69.5,64.0,67.3,74.6,Yes,No,6.5,Bachelor,Low,45.0,71.3,Low Risk
STU2897,Male,17,3.8,73.5,68.3,53.2,60.8,Yes,Yes,4.7,Bachelor,Low,48.2,68.3,Moderate Risk
STU2515,Female,17,2.4,58.1,53.9,27.0,38.5,No,Yes,6.4,Bachelor,Medium,43.8,38.1,High Risk
STU1809,Female,19,,78.6,57.9,54.0,45.8,Yes,Yes,6.1,High School,High,66.3,52.5,Moderate Risk
STU1070,Other,21,4.4,76.3,78.0,69.3,55.0,No,Yes,5.7,Bachelor,Medium,61.9,69.8,Low Risk
STU1221,Male,19,7.7,74.9,83.0,71.7,56.7,Yes,Yes,5.1,Master,Medium,76.3,79.9,Low Risk
STU2923,Male,17,2.9,74.9,47.4,56.2,48.5,No,No,6.1,Bachelor,Low,78.6,57.4,Moderate Risk
STU2456,Male,19,5.9,68.4,65.0,59.0,47.6,Yes,Yes,5.5,Associate,Medium,75.2,65.4,Moderate Risk
STU1472,Male,22,1.5,70.4,57.3,32.4,44.1,No,No,7.6,Bachelor,Medium,49.7,60.6,Moderate Risk
STU1369,Female,21,4.6,79.3,76.0,59.4,75.8,Yes,Yes,5.8,Master,Low,81.5,84.8,Low Risk
STU1240,Female,21,4.3,74.0,57.5,65.5,69.8,No,Yes,6.1,Associate,Medium,51.5,82.5,Low Risk
STU1232,Male,20,5.0,71.6,60.3,65.0,57.7,Yes,Yes,7.9,Bachelor,High,57.8,67.7,Moderate Risk
STU2285,Female,21,6.5,68.0,76.5,66.6,58.3,Yes,No,5.7,High School,Medium,74.8,72.4,Low Risk
STU1197,Male,20,3.1,72.1,68.3,58.8,57.0,Yes,Yes,7.3,Associate,Medium,88.1,68.3,Low Risk
STU1100,Female,17,1.9,66.6,56.5,30.8,53.0,No,Yes,8.0,Bachelor,Medium,40.0,54.6,High Risk
STU2782,Male,20,2.3,62.7,65.2,39.7,50.5,Yes,Yes,6.1,Associate,Low,59.0,52.8,Moderate Risk
STU2674,Male,21,1.4,61.6,48.5,38.4,43.1,No,Yes,8.8,Bachelor,Medium,49.0,42.4,High Risk
STU1747,Female,20,5.8,71.1,70.8,58.7,50.5,No,Yes,7.3,Bachelor,Low,85.1,64.0,Moderate Risk
STU1367,Male,21,4.1,68.4,85.7,59.4,67.5,No,Yes,5.3,Associate,High,49.0,69.9,Low Risk
STU1742,Female,19,2.8,63.3,65.4,56.8,52.9,No,Yes,6.6,High School,High,38.0,62.2,Moderate Risk
STU2493,Female,21,3.3,67.6,63.7,54.1,51.5,Yes,Yes,6.7,Bachelor,Medium,48.2,61.1,Moderate Risk
STU2630,Female,17,5.1,72.5,85.6,69.2,62.5,No,Yes,7.1,Master,Low,52.4,72.0,Low Risk
STU1506,Female,22,4.7,77.4,69.4,48.8,69.3,Yes,Yes,7.7,Bachelor,Medium,62.4,67.6,Moderate Risk
STU2976,Male,19,4.3,62.8,59.8,54.4,54.5,Yes,Yes,5.9,High School,Medium,53.1,63.6,Moderate Risk
STU1252,Female,19,3.4,81.9,72.2,49.4,55.5,Yes,No,5.2,Master,Medium,57.8,65.1,Moderate Risk
STU1890,Female,22,6.2,87.4,71.7,70.8,59.4,No,Yes,6.2,Master,Medium,69.3,82.7,Low Risk
STU2836,Male,22,5.9,68.0,92.1,49.9,54.6,No,Yes,8.1,Bachelor,Low,79.2,73.3,Moderate Risk
STU1515,Female,18,4.0,62.0,61.0,57.0,56.1,No,Yes,5.8,Associate,High,48.6,58.6,Moderate Risk
STU2984,Female,21,4.4,76.7,73.1,66.2,60.1,No,Yes,7.9,High School,Medium,84.6,70.2,Low Risk
STU1638,Female,20,1.8,60.9,49.8,29.7,41.5,Yes,Yes,5.4,Associate,Low,40.0,42.4,High Risk
STU2104,Male,21,2.4,72.2,78.1,57.5,66.7,Yes,Yes,4.6,High School,Medium,45.7,56.7,Moderate Risk
STU2717,Female,17,2.5,71.9,69.2,54.6,59.0,No,Yes,9.2,Bachelor,High,38.9,57.0,Moderate Risk
STU1926,Female,19,2.9,52.6,51.8,40.6,50.2,No,Yes,6.4,Bachelor,Low,50.4,42.8,High Risk
STU2724,Female,18,3.6,63.9,71.9,43.9,49.0,No,Yes,8.3,Associate,High,57.5,53.7,Moderate Risk
STU2158,Male,21,8.0,84.4,73.1,64.0,48.9,Yes,Yes,6.0,High School,Low,55.5,78.1,Low Risk
STU2527,Female,21,1.3,65.9,66.0,32.9,50.8,Yes,Yes,5.8,High School,Low,37.7,46.5,High Risk
STU2462,Male,21,1.1,58.6,51.9,30.4,37.1,Yes,Yes,8.0,High School,Low,43.9,36.7,High Risk
STU1539,Female,22,0.8,45.0,48.4,27.0,27.4,Yes,Yes,7.7,High School,High,51.6,23.1,High Risk
STU2037,Female,17,3.4,55.8,80.0,55.1,65.7,,Yes,6.3,Bachelor,High,53.0,70.0,Moderate Risk
STU1793,Male,21,4.6,71.5,65.8,55.6,58.4,No,Yes,7.2,High School,High,42.7,62.4,Low Risk
STU2910,Female,17,1.2,65.5,66.5,40.5,44.5,No,Yes,6.6,Associate,Low,50.0,54.5,Moderate Risk
STU1837,Male,22,5.6,84.6,63.7,55.2,61.0,No,Yes,8.2,Master,Low,78.2,70.4,Low Risk
STU2069,Female,21,3.3,64.0,56.2,39.2,47.5,Yes,Yes,8.1,Bachelor,Medium,56.9,45.3,Moderate Risk
STU1486,Male,20,6.1,73.5,61.4,72.3,58.9,Yes,No,7.4,Bachelor,Low,53.0,76.9,Moderate Risk
STU2992,Female,22,2.6,62.8,57.1,39.9,54.7,Yes,Yes,8.0,Bachelor,Low,58.7,56.3,Moderate Risk
STU1496,Female,17,2.8,70.6,74.1,54.4,57.7,Yes,Yes,8.4,Associate,Medium,51.8,65.1,Moderate Risk
STU2363,Male,19,1.9,62.4,48.8,38.4,42.6,No,Yes,7.5,Bachelor,Low,29.8,48.1,High Risk
STU2605,Female,19,1.9,58.1,58.2,32.0,41.9,Yes,Yes,6.0,Bachelor,High,32.9,46.1,High Risk
STU2433,Female,17,1.3,59.4,55.4,31.0,37.8,No,No,6.3,Bachelor,Medium,47.2,35.1,High Risk
STU1655,Female,18,6.2,66.0,74.9,59.8,65.3,No,Yes,6.1,Bachelor,High,79.3,74.9,Low Risk
STU1860,Female,20,2.7,59.9,54.3,34.7,34.4,No,Yes,4.7,Bachelor,High,57.1,49.0,High Risk
STU2513,Male,17,,55.8,67.5,41.0,35.1,No,Yes,7.7,High School,Low,60.1,36.9,High Risk
STU2491,Female,19,5.4,85.1,85.7,68.1,61.9,Yes,Yes,5.8,Bachelor,Medium,70.6,78.0,Moderate Risk
STU2716,Other,17,4.8,81.0,65.3,71.6,65.0,Yes,Yes,6.3,Bachelor,Low,89.3,76.6,Low Risk
STU1434,Female,22,2.8,68.0,62.0,41.0,46.7,No,Yes,6.8,Bachelor,Medium,70.8,60.3,Moderate Risk
STU1375,Female,19,2.9,72.9,72.2,43.4,35.8,No,Yes,6.9,Bachelor,Medium,59.4,50.8,Moderate Risk
STU2055,Other,20,2.4,50.5,62.0,51.3,63.6,No,Yes,7.1,Bachelor,Low,46.4,55.7,Moderate Risk
STU1711,Male,17,4.8,65.6,76.9,51.7,61.0,No,Yes,6.3,Associate,Low,75.1,69.7,Moderate Risk
STU1922,Female,18,3.3,49.5,73.3,41.5,58.3,No,Yes,5.7,Bachelor,Low,66.0,52.2,Moderate Risk
STU1775,Male,19,2.7,68.7,55.1,59.1,50.8,No,Yes,8.4,Bachelor,Medium,58.4,64.2,Moderate Risk
STU2802,Male,21,5.1,79.2,71.5,60.3,58.6,No,Yes,6.2,Doctorate,Medium,82.8,65.8,Low Risk
STU2030,Male,18,2.1,63.8,81.3,53.5,42.6,No,Yes,7.4,Bachelor,High,40.9,55.6,High Risk
STU2828,Male,21,1.4,56.0,66.8,44.9,44.2,No,Yes,4.6,,Medium,62.9,45.8,High Risk
STU2626,Male,22,3.0,56.6,58.9,52.0,52.4,No,Yes,6.1,,Medium,42.6,58.2,Moderate Risk
STU1417,Female,21,4.0,94.7,67.8,61.3,58.1,Yes,No,8.1,Master,Medium,71.8,73.8,Moderate Risk
STU2595,Male,18,3.0,84.2,68.4,55.6,54.0,No,Yes,5.4,Associate,High,60.0,62.9,Moderate Risk
STU2178,Female,20,1.2,69.0,57.4,38.0,49.9,No,Yes,9.9,Doctorate,High,55.5,52.9,Moderate Risk
STU2553,Male,18,8.0,93.7,77.7,73.1,59.3,Yes,Yes,8.0,High School,Low,58.7,75.2,Low Risk
STU2453,Male,19,3.1,68.3,63.5,42.0,54.7,No,Yes,7.2,Associate,Medium,52.9,57.7,Moderate Risk
STU1116,Male,17,2.7,75.0,75.4,47.6,53.1,Yes,Yes,5.1,Associate,Low,49.9,61.8,Moderate Risk
STU1325,Male,18,5.6,67.7,62.2,49.3,48.5,No,Yes,7.5,High School,Low,59.8,61.0,Moderate Risk
STU1584,Female,19,0.9,66.6,47.1,42.9,36.6,No,No,7.4,Bachelor,Medium,61.8,42.8,High Risk
STU1439,Male,17,1.8,64.6,66.8,31.4,45.4,Yes,Yes,5.6,Bachelor,High,43.5,48.6,Moderate Risk
STU1299,Male,19,4.4,58.5,72.1,45.0,57.7,Yes,Yes,7.7,Bachelor,Medium,63.5,58.0,Moderate Risk
STU2710,Male,18,8.0,85.5,76.3,82.7,75.0,Yes,Yes,8.4,Master,Medium,83.0,81.4,Low Risk
STU2404,Male,17,3.3,62.8,56.5,47.4,36.5,No,Yes,5.2,High School,Medium,57.2,44.1,Moderate Risk
STU1586,Female,17,2.0,62.6,57.0,49.0,45.0,Yes,Yes,5.9,High School,Low,72.4,54.0,High Risk
STU1353,Male,20,2.1,65.3,65.4,52.5,53.4,Yes,Yes,6.1,Bachelor,Low,50.8,58.4,Moderate Risk
STU2847,Female,20,1.4,53.7,53.0,44.8,37.7,Yes,No,7.8,High School,High,52.6,40.0,High Risk
STU1544,Male,21,6.0,63.1,79.2,65.7,44.0,Yes,Yes,6.8,Bachelor,High,58.8,61.3,Moderate Risk
STU1508,Male,17,2.2,51.7,39.0,46.1,53.5,No,Yes,5.5,Associate,Low,48.2,54.0,High Risk
STU1555,Male,20,1.9,71.3,60.4,37.6,51.8,No,Yes,6.5,Master,Medium,61.0,56.8,Moderate Risk
STU2740,Female,20,1.8,60.5,62.5,56.4,46.6,Yes,Yes,6.7,Doctorate,Low,32.6,55.4,Moderate Risk
STU2291,Female,21,4.7,67.1,56.5,33.1,39.1,No,Yes,6.4,High School,High,69.7,56.8,Moderate Risk
STU2531,Female,20,5.1,73.0,67.5,53.8,58.3,No,Yes,6.9,Master,High,65.9,64.5,Moderate Risk
STU2618,Male,19,2.9,69.1,69.4,50.1,52.2,No,Yes,6.2,Associate,Medium,69.2,61.1,Moderate Risk
STU1121,Male,20,3.1,56.0,60.6,45.1,61.8,Yes,Yes,6.9,High School,Medium,62.2,54.6,Moderate Risk
STU2382,Female,22,2.6,46.3,67.5,51.2,59.3,No,No,8.6,High School,Medium,50.2,62.1,Moderate Risk
STU1368,Male,22,5.8,80.0,88.5,73.1,76.2,No,Yes,7.4,Master,Low,66.5,75.3,Low Risk
STU2005,Male,20,4.7,88.5,83.3,63.9,62.9,No,Yes,5.3,Bachelor,Low,88.5,67.8,Low Risk
STU1248,Male,20,3.3,61.3,69.8,54.7,47.8,No,Yes,6.8,Bachelor,High,47.0,60.6,Moderate Risk
STU2494,Female,22,2.7,60.2,65.1,44.3,43.3,Yes,No,7.3,Master,Low,46.2,51.0,High Risk
STU1562,Female,22,2.0,48.7,46.5,30.7,27.6,No,Yes,5.4,Doctorate,Medium,37.5,37.5,High Risk
STU1136,Female,20,0.7,64.1,62.9,42.2,55.2,No,Yes,6.3,Associate,Low,34.1,41.9,High Risk
STU2306,Male,18,2.9,81.5,73.5,45.9,53.1,Yes,Yes,7.3,Bachelor,Medium,70.7,61.3,Moderate Risk
STU1983,Female,19,1.9,47.1,49.2,37.3,39.7,Yes,Yes,7.5,Doctorate,Low,40.6,35.4,High Risk
STU2107,Female,21,2.8,77.3,85.7,68.5,69.1,No,Yes,7.2,Bachelor,High,74.4,67.9,Low Risk
STU1362,Male,22,4.6,84.2,83.5,64.0,63.1,No,Yes,7.3,Associate,High,72.1,72.4,Low Risk
STU2311,Female,18,,52.7,57.3,46.1,42.2,Yes,Yes,7.5,High School,Low,59.3,38.4,High Risk
STU1756,Male,19,3.1,60.5,62.6,50.2,46.3,No,Yes,6.5,Master,Medium,51.9,52.1,Moderate Risk
STU2118,Male,20,3.0,66.4,64.2,41.4,40.9,No,Yes,7.3,Bachelor,High,49.5,54.3,Moderate Risk
STU2870,Male,18,4.8,55.1,73.2,62.5,63.6,No,No,8.4,High School,Low,37.8,60.8,Moderate Risk
STU1110,Female,20,1.7,55.8,55.1,31.7,24.0,Yes,No,5.8,Associate,High,38.6,40.6,High Risk
STU1382,Male,21,3.5,56.8,83.9,56.2,44.1,Yes,Yes,7.4,Bachelor,Medium,49.8,58.8,Moderate Risk
STU2512,Male,22,6.5,79.3,66.3,53.4,56.2,No,Yes,6.4,Bachelor,Medium,54.5,68.2,Moderate Risk
STU2274,Female,17,2.3,60.3,61.7,50.6,45.7,No,Yes,7.0,Associate,Medium,45.5,54.6,Moderate Risk
STU2381,Female,19,4.8,65.0,73.4,58.9,61.2,Yes,Yes,6.9,Bachelor,Medium,71.0,71.0,Moderate Risk
STU2867,Female,19,1.9,63.0,61.2,49.0,48.6,No,Yes,6.0,Associate,Medium,63.5,51.2,High Risk
STU1680,Male,19,3.5,65.5,66.9,50.6,53.0,Yes,Yes,7.1,Master,Medium,55.9,60.0,Moderate Risk
STU2238,Female,21,2.1,74.4,60.9,39.3,51.3,Yes,No,7.7,Bachelor,Medium,43.1,58.1,Moderate Risk
STU2584,Male,19,4.7,63.5,69.8,51.9,52.4,No,Yes,,High School,Medium,42.2,61.0,Moderate Risk
STU2770,Female,21,5.2,73.9,75.6,72.0,75.5,No,Yes,6.0,,Medium,67.3,88.6,Low Risk
STU2165,Female,18,1.5,59.4,51.3,48.3,46.9,Yes,Yes,6.7,High School,Medium,54.9,51.3,High Risk
STU1889,Female,22,4.5,59.8,69.0,50.4,54.4,No,Yes,5.5,High School,Medium,60.5,60.2,Moderate Risk
STU2544,Female,17,3.8,73.5,69.0,60.3,47.9,Yes,Yes,6.2,Master,High,76.5,64.3,Low Risk
STU1788,Female,17,1.4,55.6,50.4,35.4,45.6,No,Yes,8.0,High School,Medium,30.7,43.8,Moderate Risk
STU2191,Female,19,5.2,78.3,64.9,68.3,51.7,No,Yes,8.3,Doctorate,Low,79.5,69.5,Moderate Risk
STU2367,Male,20,1.7,69.2,65.6,50.8,53.7,Yes,Yes,7.9,Bachelor,Medium,58.6,61.8,Moderate Risk
STU2346,Female,21,5.6,75.4,75.0,64.1,62.3,Yes,Yes,6.4,Associate,Low,71.9,85.4,Low Risk
STU3015,Male,21,3.2,65.5,66.6,47.5,52.1,Yes,Yes,6.2,Bachelor,Low,41.3,58.4,Moderate Risk
STU2079,Female,20,3.3,70.5,75.1,48.3,57.5,No,Yes,6.3,Bachelor,Medium,48.2,53.5,Moderate Risk
STU1693,Male,20,5.6,73.4,90.5,65.0,64.8,Yes,Yes,6.7,Bachelor,Low,68.4,70.5,Moderate Risk
STU1234,Male,17,7.8,80.8,84.7,76.5,70.4,No,Yes,6.6,Master,Medium,69.9,77.9,Low Risk
